{'loss': 4.2593, 'grad_norm': 3.1843996047973633, 'learning_rate': 1e-05, 'epoch': 0.2}                        
{'loss': 2.3264, 'grad_norm': 2.650456190109253, 'learning_rate': 2e-05, 'epoch': 0.4}                         
{'loss': 2.1622, 'grad_norm': 2.42042875289917, 'learning_rate': 3e-05, 'epoch': 0.6}                          
{'loss': 2.0679, 'grad_norm': 2.288944721221924, 'learning_rate': 4e-05, 'epoch': 0.8}                         
{'loss': 2.0101, 'grad_norm': 1.6444443464279175, 'learning_rate': 5e-05, 'epoch': 1.0}                        
{'loss': 1.9531, 'grad_norm': 1.766173005104065, 'learning_rate': 6e-05, 'epoch': 1.2}                         
{'loss': 1.9338, 'grad_norm': 1.6949591636657715, 'learning_rate': 7e-05, 'epoch': 1.41}                       
{'loss': 1.9038, 'grad_norm': 3.39050030708313, 'learning_rate': 8e-05, 'epoch': 1.61}                         
{'loss': 1.8867, 'grad_norm': 1.5899739265441895, 'learning_rate': 9e-05, 'epoch': 1.81}                       
{'loss': 1.8664, 'grad_norm': 1.5642812252044678, 'learning_rate': 0.0001, 'epoch': 2.01}                      
{'loss': 1.8052, 'grad_norm': 1.8454588651657104, 'learning_rate': 9.974253347064882e-05, 'epoch': 2.21}       
{'loss': 1.7982, 'grad_norm': 1.493852138519287, 'learning_rate': 9.948506694129764e-05, 'epoch': 2.41}        
{'loss': 1.7788, 'grad_norm': 1.2322090864181519, 'learning_rate': 9.922760041194646e-05, 'epoch': 2.61}       
{'loss': 1.7728, 'grad_norm': 1.641785979270935, 'learning_rate': 9.897013388259527e-05, 'epoch': 2.81}        
{'loss': 1.7406, 'grad_norm': 1.3695765733718872, 'learning_rate': 9.871266735324408e-05, 'epoch': 3.01}       
{'loss': 1.6655, 'grad_norm': 1.2443610429763794, 'learning_rate': 9.845520082389291e-05, 'epoch': 3.21}       
{'loss': 1.6535, 'grad_norm': 1.4708174467086792, 'learning_rate': 9.819773429454171e-05, 'epoch': 3.41}       
{'loss': 1.6504, 'grad_norm': 1.3859188556671143, 'learning_rate': 9.794026776519053e-05, 'epoch': 3.61}       
{'loss': 1.6468, 'grad_norm': 1.337748408317566, 'learning_rate': 9.768280123583934e-05, 'epoch': 3.82}        
{'loss': 1.6338, 'grad_norm': 1.223238229751587, 'learning_rate': 9.742533470648816e-05, 'epoch': 4.02}        
{'loss': 1.5127, 'grad_norm': 1.5532747507095337, 'learning_rate': 9.716786817713698e-05, 'epoch': 4.22}       
{'loss': 1.5213, 'grad_norm': 1.9462108612060547, 'learning_rate': 9.69104016477858e-05, 'epoch': 4.42}        
{'loss': 1.5239, 'grad_norm': 1.6220916509628296, 'learning_rate': 9.665293511843461e-05, 'epoch': 4.62}       
{'loss': 1.5222, 'grad_norm': 1.7522810697555542, 'learning_rate': 9.639546858908343e-05, 'epoch': 4.82}       
{'loss': 1.509, 'grad_norm': 1.862154245376587, 'learning_rate': 9.613800205973223e-05, 'epoch': 5.02}         
{'loss': 1.3739, 'grad_norm': 1.7671865224838257, 'learning_rate': 9.588053553038105e-05, 'epoch': 5.22}       
{'loss': 1.3772, 'grad_norm': 1.800487756729126, 'learning_rate': 9.562306900102987e-05, 'epoch': 5.42}        
{'loss': 1.4022, 'grad_norm': 1.759669303894043, 'learning_rate': 9.536560247167868e-05, 'epoch': 5.62}        
{'loss': 1.3893, 'grad_norm': 1.920469880104065, 'learning_rate': 9.51081359423275e-05, 'epoch': 5.82}         
{'loss': 1.3802, 'grad_norm': 1.8452093601226807, 'learning_rate': 9.485066941297632e-05, 'epoch': 6.02}       
{'loss': 1.2293, 'grad_norm': 2.0589630603790283, 'learning_rate': 9.459320288362514e-05, 'epoch': 6.22}       
{'loss': 1.2449, 'grad_norm': 1.9782588481903076, 'learning_rate': 9.433573635427395e-05, 'epoch': 6.43}       
{'loss': 1.2636, 'grad_norm': 2.3724172115325928, 'learning_rate': 9.407826982492276e-05, 'epoch': 6.63}       
{'loss': 1.2735, 'grad_norm': 2.167189121246338, 'learning_rate': 9.382080329557157e-05, 'epoch': 6.83}        
{'loss': 1.257, 'grad_norm': 2.16318416595459, 'learning_rate': 9.35633367662204e-05, 'epoch': 7.03}           
{'loss': 1.0961, 'grad_norm': 2.1616973876953125, 'learning_rate': 9.330587023686921e-05, 'epoch': 7.23}       
{'loss': 1.1272, 'grad_norm': 2.269359588623047, 'learning_rate': 9.304840370751803e-05, 'epoch': 7.43}        
{'loss': 1.1363, 'grad_norm': 2.2597131729125977, 'learning_rate': 9.279093717816684e-05, 'epoch': 7.63}       
{'loss': 1.1473, 'grad_norm': 2.480320453643799, 'learning_rate': 9.253347064881566e-05, 'epoch': 7.83}        
{'loss': 1.1268, 'grad_norm': 2.344289779663086, 'learning_rate': 9.227600411946448e-05, 'epoch': 8.03}        
{'loss': 0.9847, 'grad_norm': 2.542562961578369, 'learning_rate': 9.201853759011328e-05, 'epoch': 8.23}        
{'loss': 1.0077, 'grad_norm': 2.39907169342041, 'learning_rate': 9.176107106076211e-05, 'epoch': 8.43}         
{'loss': 1.0257, 'grad_norm': 2.4954304695129395, 'learning_rate': 9.150360453141093e-05, 'epoch': 8.63}       
{'loss': 1.0466, 'grad_norm': 2.2949469089508057, 'learning_rate': 9.124613800205973e-05, 'epoch': 8.84}       
{'loss': 1.0168, 'grad_norm': 2.1894471645355225, 'learning_rate': 9.098867147270855e-05, 'epoch': 9.04}       
{'loss': 0.8805, 'grad_norm': 2.4949183464050293, 'learning_rate': 9.073120494335738e-05, 'epoch': 9.24}       
{'loss': 0.903, 'grad_norm': 2.439873218536377, 'learning_rate': 9.047373841400618e-05, 'epoch': 9.44}         
{'loss': 0.9184, 'grad_norm': 2.3912360668182373, 'learning_rate': 9.0216271884655e-05, 'epoch': 9.64}         
{'loss': 0.9379, 'grad_norm': 2.620706796646118, 'learning_rate': 8.995880535530382e-05, 'epoch': 9.84}        
{'loss': 0.9106, 'grad_norm': 2.4407143592834473, 'learning_rate': 8.970133882595263e-05, 'epoch': 10.04}      
